Flight No.,Date and time (UTC),Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing,Date,Time
121,2021-06-06 04:26:00,F9 B5,CCSFS,SXM-8,7000.0,GTO,Sirius XM,Success,Success,6 June 2021,04:26
1,2010-06-04 18:45:00,F9 v1.07B0003.18,CCAFS,Dragon Spacecraft Qualification Unit,7233.227272727273,LEO,SpaceX,Success,Failure,4 June 2010,18:45
2,2010-12-08 15:43:00,F9 v1.07B0004.18,CCAFS,Dragon,7233.227272727273,LEO,NASA,Success,Failure,8 December 2010,15:43
3,2012-05-22 07:44:00,F9 v1.07B0005.18,CCAFS,Dragon,525.0,LEO,NASA,Success,No attempt,22 May 2012,07:44
4,2012-10-08 00:35:00,F9 v1.07B0006.18,CCAFS,SpaceX CRS-1,4700.0,LEO,NASA,Success,No attempt,8 October 2012,00:35
5,2013-03-01 15:10:00,F9 v1.07B0007.18,CCAFS,SpaceX CRS-2,4877.0,LEO,NASA,Success,No attempt,1 March 2013,15:10
6,2013-09-29 16:00:00,F9 v1.17B10038,VAFB,CASSIOPE,500.0,Polar orbit,MDA,Success,Uncontrolled,29 September 2013,16:00
7,2013-12-03 22:41:00,F9 v1.1,CCAFS,SES-8,3170.0,GTO,SES,Success,No attempt,3 December 2013,22:41
8,2014-01-06 22:06:00,F9 v1.1,CCAFS,Thaicom 6,3325.0,GTO,Thaicom,Success,No attempt,6 January 2014,22:06
9,2014-04-18 19:25:00,F9 v1.1,Cape Canaveral,SpaceX CRS-3,2296.0,LEO,NASA,Success,Controlled,18 April 2014,19:25
10,2014-07-14 15:15:00,F9 v1.1,Cape Canaveral,Orbcomm-OG2,1316.0,LEO,Orbcomm,Success,Controlled,14 July 2014,15:15
11,2014-08-05 08:00:00,F9 v1.1,Cape Canaveral,AsiaSat 8,4535.0,GTO,AsiaSat,Success,No attempt,5 August 2014,08:00
12,2014-09-07 05:00:00,F9 v1.1[,Cape Canaveral,AsiaSat 6,4428.0,GTO,AsiaSat,Success,No attempt,7 September 2014,05:00
13,2014-09-21 05:52:00,F9 v1.1[,Cape Canaveral,SpaceX CRS-4,2216.0,LEO,NASA,Success,Uncontrolled,21 September 2014,05:52
14,2015-01-10 09:47:00,F9 v1.1[,Cape Canaveral,SpaceX CRS-5,2395.0,LEO,NASA,Success,Failure,10 January 2015,09:47
15,2015-02-11 23:03:00,F9 v1.1[,Cape Canaveral,DSCOVR,570.0,HEO,USAF,Success,Controlled,11 February 2015,23:03
16,2015-03-02 03:50:00,F9 v1.1[,Cape Canaveral,ABS-3A,4159.0,GTO,ABS,Success,No attempt,2 March 2015,03:50
17,2015-04-14 20:10:00,F9 v1.1[,Cape Canaveral,SpaceX CRS-6,1898.0,LEO,NASA,Success,Failure,14 April 2015,20:10
